custom_pub_id,longitude,latitude
175b92129e24e549bb56d85d014caa14,-3.4597294,50.6845
e4f711f0d95635eaf4e87e27978e07f7,-0.8029476,51.644596
20212e0ec352fe1cc61fde418b54667a,-2.3481727,53.068527
dbd14904610454d12e853134711629ad,-2.1708581,53.222393
262bd2e4ebbbe23b7336dc99ea2a04e1,-2.124906,53.259777
530aaaa1ea7575a206ce145dadd895cd,-1.6672336,53.145203
583bd911a7c7b82e4d540bfdd410b9fc,-1.6042104,53.047844
d805895616952d95d1253de2d722ab30,-3.791433,50.70361
a00f65d40efc7fe55e6cc5c54fd4ad81,-3.1817353,50.85299
d8a7a0c81d80dc1620c9e5d73b2452c7,-3.9124846,50.72586
71c4dacfa55cb05991ca05b4169e8285,-0.11603,51.728687
5ab1cd5f3b20d624d525a8d48cdf8775,,
47a3e63f8c4829e51f35eb2f6e5f86fe,,
3dcc5d36004c96f625aa35f09ca920b7,-5.0728717,50.15525
832505741513c320b60a6077f7021916,-0.4111826,51.885223
9a266d8a475f2dd24241dca131cb6c93,-2.6289365,53.132397
dba6ed90da9bdec967f7052ec3948abf,,
bc4bc88775874902074a8a6c3764138c,,
5cf484e8a925c58a85e0239095fb1311,,
c9db49c886ed5757e23bb2ea43eb9ad7,,
045ea3f737efa658eda1c323bbf02301,,
670fc4ee3d2623714951f889d60e178b,-5.5677686,50.19159
dceff9621739ae2d052e7f202ac313a0,-0.1062258,51.52991
a0995c8a44be2348a2a08df17b7b3498,-1.8734565,51.71139
4acb7c2ee063ae85746fc35bc21d1375,-0.1037137,51.512115
659fe0d99e4a68b5e96a75ad23b82db9,-0.1071699,51.514366
9785d741a662216f4e3aca8ae8cd091a,-0.1215879,51.517326
8b2293313a46d5d593a68b2a352540fc,-0.1272272,51.510918
204a9107257c3691f44137d5d817e0b0,-2.397802,54.76825
06ee82d92563de4de05f912c1940cccd,-2.5871913,51.451912
a181bbd3bc5c8d58ba50857167cb8d08,-2.032983,51.78006
fe5cd1d653d39bbd81f89bcea31060f5,-2.4486308,51.73651
cc2a46bdd2649eedfaf8e0228010e1b5,-0.0987911,51.51934
59d14e617df2734d53d3785e2ed80400,-0.1127869,51.51846
ff249570e374fc01a97072937f9f414c,-0.0759311,51.59831
0db4aaebe0de0c25621d55e0e01c72f5,-0.099343,51.582268
e11679314ab4aadff16c211d5332af78,-0.175017,51.52573
5a92a5015ce419eb72f41bd5af15c151,-0.1050675,51.48944
cebdadc423588c66fa3759f78c8a69fd,-3.0961509,54.198544
ceac4bb7a9dce5eca513a2081ad250ff,-0.4038273,51.58885
2988343c710f26ca20e945ec2b3bf289,-1.4620366,53.674698
7b771ad2013173044c8e13d9edb8996d,-7.640263,54.345776
608fc7f97c1377e674100dac241af110,0.069649,51.58751
d17268342fe6b1318ce566f07281df63,-0.0902122,51.504383
c6042aabd81f018aed05921636945297,-0.1007223,51.45265
62029e1d1760c569e1066cc643c9fde2,-3.628312,50.501377
27c46d0b12efa678b6d7ca67492a0135,-0.3203708,51.506157
f174094f806e114dabfc427bcaaa173a,-0.1307199,51.516518
d708032d242b50ed10b993d1536301a2,-0.1848976,51.52445
438abb77a4725e714cec309e2af09379,-1.3531554,52.739887
67edfd2a7375a6151eb6c4ce898d019b,-3.0198462,53.39383
48c20ccc3c8bcd612f25473e44b3a11a,-5.0552454,55.83715
3bd46483d642476169cb19f699221081,-0.1680323,51.463802
a1553f47ffc4c535a894601e1ea4c16f,-4.062899,51.20108
a38e5ff503f2909e64256b5ae0568644,-2.3333557,53.48346
b56bac387a69869ae3239ef6db8d7281,-2.4033968,53.550083
ffc446a01bbb1b0688a8e81f708cc841,-2.1712644,53.46094
099d8f3c8b7b209f3ea5479096507617,-2.244892,53.481354
0f8ed7c5135a5fc3f25cf3ec2544a1b4,0.1777474,51.86838
37ebc91f0e4591bcd88be6e9d6bd4397,-2.9779816,53.398933
9a84569738b1f2c8acbd8268d6588967,-0.0198303,51.43275
aa15e17649545ded503b8781e2a32c4f,-2.3646643,53.47859
7f6676f61b9b43e92dd2da1a905136c1,-2.965521,53.450382
d7b391a32ce6d5c76518c9051ddcbdd9,-0.0808039,51.5364
6931c0a7993e804c86b9e2045e08923c,-3.530483,50.72062
3cf2e21be024e232fcf7616d9f8deb05,-2.1756067,53.40197
215b11c164aaecc3fe78d4e0e91ecb20,-2.8743258,52.359776
0ab9b90e00282090d3af347919a56403,-4.227873,57.480824
9e9bf839f0e519bf1e7ab81f69918fb1,-0.1401913,50.82147
